Time,adservice-7f9ccc87b8-csgsn,cartservice-67f67cb78b-c6gw6,checkoutservice-57cbb6967f-6vh6l,currencyservice-5f5b6f6f65-6kl5h,emailservice-676fd9f49-94vnt,frontend-544f674869-4xtb7,loadgenerator-5697d6ddc5-54vhh,paymentservice-5879d4f457-pgw5r,productcatalogservice-85969c6bc9-skcqw,recommendationservice-7b8f5965f9-6xkrx,redis-cart-74594bd569-4t74w,shippingservice-85bbdc889f-7hzfx,adservice-7f9ccc87b8-csgsn,cartservice-67f67cb78b-c6gw6,checkoutservice-57cbb6967f-6vh6l,currencyservice-5f5b6f6f65-6kl5h,emailservice-676fd9f49-94vnt,frontend-544f674869-4xtb7,loadgenerator-5697d6ddc5-54vhh,paymentservice-5879d4f457-pgw5r,productcatalogservice-85969c6bc9-skcqw,recommendationservice-7b8f5965f9-6xkrx,redis-cart-74594bd569-4t74w,shippingservice-85bbdc889f-7hzfx,adservice-7f9ccc87b8-csgsn,cartservice-67f67cb78b-c6gw6,checkoutservice-57cbb6967f-6vh6l,currencyservice-5f5b6f6f65-6kl5h,emailservice-676fd9f49-94vnt,frontend-544f674869-4xtb7,loadgenerator-5697d6ddc5-54vhh,paymentservice-5879d4f457-pgw5r,productcatalogservice-85969c6bc9-skcqw,recommendationservice-7b8f5965f9-6xkrx,redis-cart-74594bd569-4t74w,shippingservice-85bbdc889f-7hzfx,adservice-7f9ccc87b8-csgsn,cartservice-67f67cb78b-c6gw6,checkoutservice-57cbb6967f-6vh6l,currencyservice-5f5b6f6f65-6kl5h,emailservice-676fd9f49-94vnt,frontend-544f674869-4xtb7,loadgenerator-5697d6ddc5-54vhh,paymentservice-5879d4f457-pgw5r,productcatalogservice-85969c6bc9-skcqw,recommendationservice-7b8f5965f9-6xkrx,redis-cart-74594bd569-4t74w,shippingservice-85bbdc889f-7hzfx
,cpu,cpu,cpu,cpu,cpu,cpu,cpu,cpu,cpu,cpu,cpu,cpu,memory,memory,memory,memory,memory,memory,memory,memory,memory,memory,memory,memory,network_r,network_r,network_r,network_r,network_r,network_r,network_r,network_r,network_r,network_r,network_r,network_r,network_t,network_t,network_t,network_t,network_t,network_t,network_t,network_t,network_t,network_t,network_t,network_t
2022/4/2 14:18,1.515508101,19.42699928,3.183677993,7.513943503,4.626165489,9.222044249,2.824353829,2.355481663,6.497212336,6.464896935,3.386885394,3.51750029,7.454427083,40.22216797,6.072998047,47.63793945,22.7355957,7.803344727,5.310821533,26.95007324,5.517578125,6.7734375,4.895019531,5.474853516,369.3214265,6985.717007,1575.257711,3987.787801,0,11732.69766,25655.31538,69.89206624,5724.820824,3952.410894,2902.072868,456.0535103,285.9559705,3835.386719,1491.035402,3386.52612,0,36174.58929,1269.162288,51.96677298,9360.059239,1060.363147,5861.77924,226.0679201
2022/4/2 14:18,1.515508101,19.06007286,3.183677993,7.763943731,4.585746395,8.991942389,3.339896028,2.054791976,6.497212336,5.369491982,3.429831691,3.524459551,7.454427083,40.22216797,6.072998047,48.42834473,22.7355957,7.803344727,5.310821533,26.95007324,5.517578125,6.7734375,4.895019531,5.334472656,369.3214265,6961.718256,1551.130845,3987.787801,0,11732.69766,25596.53438,65.69560652,5714.460062,3949.698325,2902.072868,451.3347294,285.9559705,3826.797221,1468.292237,3386.52612,0,36174.58929,1260.612425,48.84658379,9340.366815,1059.90994,5861.77924,222.6010004
2022/4/2 14:18,1.559664633,19.06007286,1.778155538,7.763943731,4.631915194,8.991942389,3.339896028,2.37996072,6.497212336,6.736070809,3.463822784,3.652386304,7.5078125,40.22216797,6.072998047,48.42834473,22.83325195,7.803344727,5.310821533,26.95007324,5.517578125,6.797743056,4.942321777,5.334472656,361.3699531,6942.577239,1608.017826,3987.787801,0,11732.69766,25596.53438,68.81258028,5747.500317,3949.698325,2903.377518,451.3347294,277.1862454,3807.465063,1522.141152,3386.52612,0,36174.58929,1260.612425,51.16414394,9390.21887,1059.90994,5875.771094,222.6010004
2022/4/2 14:18,1.610939024,19.10738715,2.850148484,8.030496836,4.631915194,8.938022225,3.139859536,2.157064681,5.873982159,6.736070809,3.463822784,3.800046329,7.5078125,41.80297852,6.039428711,48.42834473,22.83325195,7.803344727,5.310821533,26.94396973,5.46875,6.797743056,4.942321777,5.322265625,361.1674575,6942.577239,1515.627293,3776.777778,0,11702.431,25479.33779,68.81258028,5697.38979,3949.698325,2903.377518,451.3347294,278.8272663,3807.465063,1434.684763,3209.93037,0,36205.27712,1251.309676,51.16414394,9299.1644,1059.90994,5875.771094,222.6010004
2022/4/2 14:18,1.610939024,19.14042632,2.850148484,8.083219497,4.533832864,8.938022225,3.139859536,2.227281456,5.873982159,6.736070809,3.543148715,4.060091009,7.5078125,41.80297852,6.039428711,48.38562012,22.83325195,7.803344727,5.310821533,26.94396973,5.46875,6.797743056,4.942321777,5.322265625,361.1674575,6997.320806,1515.627293,4018.267448,0,11702.431,25479.33779,68.81258028,5697.38979,3972.224674,2891.729092,448.5736598,278.8272663,3836.53267,1434.684763,3418.325261,0,36205.27712,1251.309676,51.16414394,9299.1644,1064.975053,5859.720902,221.3521698
2022/4/2 14:18,1.343903506,19.14042632,2.850148484,8.083219497,4.533832864,9.158369803,3.410276584,2.227281456,5.873982159,6.632614401,3.543148715,3.949281256,7.5078125,41.80297852,6.039428711,48.38562012,22.83325195,7.803344727,5.310821533,26.94396973,5.46875,6.760416667,4.942321777,5.416870117,359.5913075,6996.42106,1523.396919,4018.267448,0,11702.431,25479.33779,65.13479167,5659.616721,3972.224674,2891.729092,448.5736598,272.6462365,3849.933399,1441.378213,3418.325261,0,36205.27712,1251.309676,48.40041667,9240.489847,1064.975053,5859.720902,221.3521698
2022/4/2 14:18,1.598655813,19.24120651,2.910585121,8.083219497,4.795738013,9.158369803,3.308520659,1.77066401,6.599720107,6.632614401,3.552916327,3.128975462,7.470052083,37.45117188,6.02722168,48.38562012,22.75695801,7.803344727,5.310821533,26.94396973,5.545043945,6.760416667,4.911804199,5.416870117,348.705315,6996.42106,1465.785221,4018.267448,0,11970.29937,25875.239,71.26693663,5742.713543,3972.224674,2912.548993,448.5736598,270.1642541,3849.933399,1386.868292,3418.325261,0,37033.62788,1268.933524,53.06925976,9368.58952,1064.975053,5908.210896,221.3521698
2022/4/2 14:18,1.598655813,19.24120651,2.910585121,8.643568306,4.795738013,9.158369803,3.308520659,2.3592703,6.599720107,6.632614401,3.542678306,3.793566091,7.470052083,37.45117188,6.02722168,48.3581543,22.75695801,7.803344727,5.310821533,27.11791992,5.545043945,6.760416667,4.911804199,5.416870117,361.2531254,6996.42106,1567.201784,4067.659277,0,11970.29937,25973.55294,71.26693663,5742.713543,3972.224674,2934.241237,468.6787156,279.8858433,3849.933399,1482.173835,3459.801012,0,37033.62788,1270.982108,53.06925976,9368.58952,1064.975053,5933.508793,232.2319347
2022/4/2 14:19,1.562644968,16.48238471,2.910585121,8.643568306,5.022952061,9.497948651,3.308520659,2.3592703,6.599720107,6.71505783,3.542678306,3.484868177,7.4765625,37.45117188,6.02722168,48.3581543,22.75695801,7.803344727,5.310821533,27.11791992,5.545043945,6.794270833,4.911804199,5.386352539,368.2086202,7022.679716,1651.808291,4067.659277,0,11950.5928,25973.55294,71.26693663,5467.7875,3986.677856,2934.241237,468.6787156,282.9538512,3861.17117,1562.190047,3459.801012,0,36936.02898,1270.982108,53.06925976,8890.7875,1068.925487,5933.508793,232.2319347
